Episodio n;Titulo;URL;Año;Mes
Episodio 1;Cuba para recibir el año nuevo;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9190-cuba-para-recibir-ano-nuevo-01-01-16/3418769/;2016;1
Episodio 2;Folk Cracovia 5: Suiza-Noruega;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9191-folk-cracovia-5-suiza-noruega-01-01-16/3430920/;2016;1
Episodio 3;Folk Cracovia 6: Armenia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9196-folk-cracovia-6-armenia-04-01-16/3433599/;2016;1
Episodio 4;29 aniversario;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9197-dia-cabalgata-reyes-05-01-16/3434691/;2016;1
Episodio 5;Folk Cracovia 7: Corea-Bielorrusia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9198-folk-cracovia-7-corea-bielorusia-06-01-16/3435584/;2016;1
Episodio 6;Folk Cracovia 8: Suecia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-070116/3436742/;2016;1
Episodio 7;Folk Cracovia 9: Letonia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9200-folk-cracovia-9-letonia-08-01-16/3438549/;2016;1
Episodio 8;Folk Cracovia 10: Estonia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9204-folk-cracovia-10-estonia-11-01-16/3440753/;2016;1
Episodio 9;Folk Cracovia 11: Ucrania-Alemania;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9205-folk-cracovia-11-ucrania-alemania-12-01-16/3442026/;2016;1
Episodio 10;Folk Cracovia 12: Polonia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9206-folk-cracovia-12-polonia-13-01-16/3443309/;2016;1
Episodio 11;Folk Cracovia 13:Croacia-Chequia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9207-folk-cracovia-13croacia-chequia-14-01-16/3444330/;2016;1
Episodio 12;Cracovia 14: Finlandia-Chequia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9208-folk-cracovia-14-finlandia-chequia-15-01-16/3445463/;2016;1
Episodio 13;Folk Cracovia 15: Hungría-Polonia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9212-folk-cracovia-15-hungria-polonia-18-01-16/3447808/;2016;1
Episodio 14;Folk Cracovia 16 Rusia;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9213-folk-cracovia-16-rusia-19-01-16/3449004/;2016;1
Episodio 15;Folk Cracovia 17 Austria;http://www.rtve.eshttps://www.rtve.es/play/audios/discopolis/discopolis-9214-folk-cracovia-17-austria-20-01-16/3449001/;2016;1
Episodio 16;Desde Fitur 2016;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9215-desde-fitur-2016-21-01-16/3451834/;2016;1
Episodio 17;Rodrigo Leao;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9216-rodrigo-leao-22-01-16/3453950/;2016;1
Episodio 18;Setima Legiao;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9220-setima-legiao-25-01-16/3457301/;2016;1
Episodio 19;Carlos Cano y más;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9221-carlos-cano-mas-26-01-16/3458811/;2016;1
Episodio 20;Carlos Cano-Dream Theater;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9222-carlos-cano-dream-theater-27-01-16/3460257/;2016;1
Episodio 21;Carlos Cano entrevista 1999;http://www.rtve.eshttps://www.rtve.es/play/audios/discopolis/discopolis-9223-carlos-cano-entrevista-1999-28-01-16/3462106/;2016;1
