Episodio n;Titulo;URL;Año;Mes
Episodio 1;Rock Sinfónico 77: King Crimson;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9268-rock-sinfonico-77-king-crimson-08-03-16/3514929/;2016;3
Episodio 2;Rock sinfónico 78;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9441-rock-sinfonico-78-11-08-16/3690866/;2016;8
Episodio 3;Rock Sinfónico 79: E,L & P.;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9442-rock-sinfonico-79-12-08-16/3692118/;2016;8
Episodio 4;Rock Sinfónico 80: Roger Waters 1ª;http://www.rtve.eshttps://www.rtve.es/play/audios/discopolis/160915-discopolis-roger-waters-01-2016-08-12t09-02-30207/3691736/;2016;9
Episodio 5;Rock Sinfónico 81: Roger Waters 2ª;http://www.rtve.eshttps://www.rtve.es/play/audios/discopolis/160916-discopolis-roger-waters-02-2016-08-12t09-02-30207/3691749/;2016;9
Episodio 6;Rock Sinfónico 82 Jon Lord Yecla;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9542-rock-sinfonico-82-jon-lord-yecla-10-11-16/3794503/;2016;11
Episodio 7;Rock Sinfónico 83 Jon Lord Yecla;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9543-rock-sinfonico-83-jon-lord-yecla-11-11-16/3796483/;2016;11
Episodio 8;Rock Sinfónico 01 The Nice;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9743-rock-sinfonico-01-the-nice-22-05-17/4031665/;2017;5
Episodio 9;Rock Sinfónico 02 Pete Sinfield;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9744-rock-sinfonico-02-pete-sinfield-23-05-17/4033507/;2017;5
Episodio 10;Rock Sinfónico 03 Can, Focus, Yes;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9745-rock-sinfonico-03-can-focus-yes-24-05-17/4034857/;2017;5
Episodio 11;Rock Sinfónico 04 Argent-Genesis;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9746-rock-sinfonico-04-argent-genesis-25-05-17/4036439/;2017;5
Episodio 12;Rock Sinfónico 05 K.Crimson;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9747-rock-sinfonico-05-kcrimson-26-05-17/4037596/;2017;5
Episodio 13;Rock Sinfónico 06 Le Orme;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9764-rock-sinfonico-06-orme-29-05-17/4039879/;2017;5
Episodio 14;Rock Sinfónico 07;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9765-rock-sinfonico-07-30-05-17/4041364/;2017;5
Episodio 15;Rock Sinfónico 08 Zappa-Canarios;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9766-rock-sinfonico-08-zappa-canarios-31-05-17/4042752/;2017;5
Episodio 16;Rock Sinfónico 09 Steven Wilson;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9767-rock-sinfonico-09-steven-wilson-birth-control-01-06-17/4044152/;2017;6
Episodio 17;Rock Sinfónico 10 Colosseum;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-020617/4046167/;2017;6
Episodio 18;Rock Sinfónico 11 Pendragon;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9771-rock-sinfonico-11-pendragon-05-06-17/4051519/;2017;6
Episodio 19;Rock sinfónico 12 Procol Harum;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9772-rock-sinfonico-12-procol-harum-06-06-17/4053233/;2017;6
Episodio 20;Rock sinfónico 13 Jethro Tull;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9773-rock-sinfonico-13-jethro-tull-07-06-17/4054889/;2017;6
Episodio 21;Rock Sinfónico 14 New Trolls;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9774-rock-sinfonico-14-new-trolls-08-06-17/4056646/;2017;6
Episodio 22;Rock Sinfónico 15 Think Floyd;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9775-rock-sinfonico-15-think-floyd-09-06-17/4058897/;2017;6
Episodio 23;Rock Sinfónico 16 Uriah Heep;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9779-rock-sinfonico-16-uriah-heep-12-06-17/4061830/;2017;6
Episodio 24;Rock sinfónico 17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9780-rock-sinfonico-17-13-06-17/4063518/;2017;6
Episodio 25;Rock sinfónico 18 Nigel Kennedy;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9781-rock-sinfonico-18-nigel-kennedy-14-06-17/4065200/;2017;6
Episodio 26;Rock sinfónico 19 Transatlantic 15/06/17;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9782-rock-sinfonico-19-transatlantic-15-06-17/4066233/;2017;6
Episodio 27;Rock sinfónico 20 Kotebel;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9783-rock-sinfonico-20-kotebel-16-06-17/4068065/;2017;6
Episodio 28;Rock Sinfónico 21 Zenit;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9787-rock-sinfonico-21-zenit-19-06-17/4071091/;2017;6
Episodio 29;Rock Sinfónico The Pineapple Thief 22;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9788-rock-sinfonico-the-pineapple-thief-22-20-06-17/4072503/;2017;6
Episodio 30;Rock sinfónico 23 Iman Califato I.;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9789-rock-sinfonico-23-iman-califato-21-06-17/4074149/;2017;6
Episodio 31;Rock Sinfónico 24 King Crimson;http://www.rtve.eshttp://www.rtve.es/play/audios/discopolis/discopolis-9790-rock-sinfonico-24-king-crimson-22-06-17/4075444/;2017;6
