Episodio n;Titulo;URL;Año;Mes
Episodio 1;Guitarras rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-guitarras-rompepistas-15-05-14/2564756/;2014;5
Episodio 2;Guitarras rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-guitarras-rompepistas-01-08-14/2686087/;2014;8
Episodio 3;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-19-12-14/2917935/;2014;12
Episodio 4;Sesión rompepistas (Pedazo temazo);http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/150123-6x3-rompepistas-2015-01-20t10-07-50667/2957031/;2015;1
Episodio 5;Sesión rompepistas;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/150306-6x3-sesion-rompepistas-2015-02-16t20-15-26093/3028278/;2015;3
Episodio 6;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/seis-tres-290515/3146380/;2015;5
Episodio 7;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sesion-rompepistas-26-06-15/3179848/;2015;6
Episodio 8;Sesión Rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/150724-6x3-rompepistas-julio-2015-07-17t13-28-13880/3219438/;2015;7
Episodio 9;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sesion-rompepistas-11-09-15/3275739/;2015;9
Episodio 10;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-20-11-15/3370385/;2015;11
Episodio 11;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-15-01-16/3443056/;2016;1
Episodio 12;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-25-03-16/3527371/;2016;3
Episodio 13;Sesión rompepistas;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-10-06-16/3625766/;2016;6
Episodio 14;Sesión rompepistas;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-sesion-rompepistas-08-07-16/3654696/;2016;7
Episodio 15;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sesion-rompepistas-15-07-16/3659936/;2016;7
Episodio 16;Rompepistas legendaria;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-rompepistas-legendaria-29-07-16/3673018/;2016;7
