Episodio n;Titulo;URL;Año;Mes
Episodio 1;Rock 1970 (1): Simon & Garfunkel - Black Sabbath;http://www.rtve.es/play/audios/discopolis/discopolis-9505-rock-1970-1-simon-garfunkel-black-sabbath-05-10-16/3745448/;2016;10
Episodio 2;1970 (2): Taste, Stone the Crow;http://www.rtve.es/play/audios/discopolis/discopolis-9503-1970-2-taste-stone-the-crow-06-10-16/3746714/;2016;10
Episodio 3;1970 (3): Syd Barrett, MC5;http://www.rtve.es/play/audios/discopolis/discopolis-9504-1970-3-syd-barrett-mc5-07-10-16/3748543/;2016;10
Episodio 4;1970 (4) Chicago - Zappa;http://www.rtve.es/play/audios/discopolis/discopolis-9508-1970-4-chicago-zappa-10-10-16/3751840/;2016;10
Episodio 5;1970 (5): Cash, Baez, Morrison;http://www.rtve.es/play/audios/discopolis/discopolis-1970-5-cash-baez-morrison-11-10-16/3753298/;2016;10
Episodio 6;1970 (6) Dylan Nobel Literatura;http://www.rtve.es/play/audios/discopolis/discopolis-9511-1970-6-dylan-nobel-literatura-13-10-16/3755619/;2016;10
Episodio 7;1970 (7) The Doors - The Beatles;http://www.rtve.es/play/audios/discopolis/discopolis-9512-1970-7-the-doors-the-beatles-14-10-16/3757144/;2016;10
Episodio 8;1970 (8) Pink Floyd, Jerry Garcia;http://www.rtve.es/play/audios/discopolis/discopolis-9516-1970-8-pink-floyd-jerry-garcia-17-10-16/3760046/;2016;10
Episodio 9;1970 (9) Van der Graaf, CSNY;http://www.rtve.es/play/audios/discopolis/discopolis-9517-1970-9-van-der-graaf-csny-18-10-16/3761442/;2016;10
Episodio 10;1970 (10). Mountain, Leon Russell;http://www.rtve.es/play/audios/discopolis/discopolis-9524-1970-10-mountain-leon-russell-24-10-16/3769399/;2016;10
Episodio 11;1970 (11) Jimi Hendrix;http://www.rtve.es/play/audios/discopolis/discopolis-9527-1970-11-jimi-hendrix-27-10-16/3775524/;2016;10
