Episodio n;Titulo;URL;Año;Mes
Episodio 1;Década dorada del Rock 1;http://www.rtve.es/play/audios/discopolis/discopolis-8018-decada-dorada-del-rock-1966-75-1-parte-16-07-12/1466031/;2012;7
Episodio 2;Década dorada del Rock 2;http://www.rtve.es/play/audios/discopolis/discopolis-8019-decada-dorada-del-rock-1966-75-2-parte-17-07-12/1467111/;2012;7
Episodio 3;Década dorada del Rock 3;http://www.rtve.es/play/audios/discopolis/discopolis-8021-decada-dorada-del-rock-1966-75-3-parte-18-07-12/1468703/;2012;7
Episodio 4;Década dorada del Rock 4;http://www.rtve.es/play/audios/discopolis/discopolis-8022-decada-dorada-del-rock-1966-75-4-parte-19-07-12/1470773/;2012;7
Episodio 5;Década dorada del Rock 5;http://www.rtve.es/play/audios/discopolis/discopolis-8022-decada-dorada-del-rock-1966-75-4-parte-19-07-12/1486016/;2012;7
Episodio 6;Década dorada del Rock: 1966-75 6ª;http://www.rtve.es/play/audios/discopolis/discopolis-8024-decada-dorada-del-rock-1966-75-6-parte-23-07-12/1488933/;2012;7
Episodio 7;Década dorada del Rock:66-75 7ª;http://www.rtve.es/play/audios/discopolis/discopolis-8025-decada-dorada-del-rock-1966-75-7-parte-24-07-12/1490004/;2012;7
Episodio 8;Década dorada del Rock: 1966-75 8ª;http://www.rtve.es/play/audios/discopolis/discopolis-8027-decada-dorada-del-rock-1966-75-8-parte-25-07-12/1490826/;2012;7
Episodio 9;Década dorada del Rock 9;http://www.rtve.es/play/audios/discopolis/discopolis-8030-decada-dorada-del-rock-1966-75-9-parte-30-07-12/1494703/;2012;7
Episodio 10;Década dorada del Rock 10;http://www.rtve.es/play/audios/discopolis/discopolis-8031-decada-dorada-del-rock-1966-75-10-parte-31-07-12/1495646/;2012;7
