Episodio n;Titulo;URL;Año;Mes
Episodio 1;Rock sinfónico clásico;http://www.rtve.es/play/audios/discopolis/discopolis-rock-sinfonico-clasico-04-04-12/1368333/;2012;4
Episodio 2;Rock sinfónico;http://www.rtve.es/play/audios/discopolis/discopolis-8162-rock-sinfonico-31-12-12/1630345/;2012;12
Episodio 3;Rock sinfónico 2;http://www.rtve.es/play/audios/discopolis/discopolis-8163-rock-sinfonico-2-01-01-13/1630871/;2013;1
Episodio 4;Rock sinfónico 3;http://www.rtve.es/play/audios/discopolis/discopolis-8164-rock-sinfonico-3-02-01-13/1631668/;2013;1
Episodio 5;Rock sinfónico 4;http://www.rtve.es/play/audios/discopolis/discopolis-8165-rock-sinfonico-4-03-01-13/1632805/;2013;1
Episodio 6;Rock sinfónico 5;http://www.rtve.es/play/audios/discopolis/discopolis-8169-rock-sinfonico-5-08-01-13/1645451/;2013;1
Episodio 7;Rock Sinfónico 6;http://www.rtve.es/play/audios/discopolis/discopolis-8170-rock-sinfonico-6-09-01-13/1651782/;2013;1
Episodio 8;Rock Sinfónico y 7;http://www.rtve.es/play/audios/discopolis/discopolis-8171-rock-sinfonico-7-10-01-13/1657457/;2013;1
Episodio 9;Rock Sinfónico 8;http://www.rtve.es/play/audios/discopolis/discopolis-8175-rock-sinfonico-8-15-01-13/1664614/;2013;1
Episodio 10;Rock Sinfónico 9;https://www.rtve.es/play/audios/discopolis/discopolis-8176-rock-sinfonico-9-16-01-13/1666688/;2013;1
Episodio 11;Rock Sinfónico 10;https://www.rtve.es/play/audios/discopolis/discopolis-8177-rock-sinfonico-10-17-01-13/1668521/;2013;1
Episodio 12;Rock Sinfónico 11;http://www.rtve.es/play/audios/discopolis/discopolis-8178-rock-sinfonico-11-18-01-13/1669944/;2013;1
Episodio 13;Rock Sinfónico 12;http://www.rtve.es/play/audios/discopolis/discopolis-8180-rock-sinfonico-12-21-01-13/1671606/;2013;1
Episodio 14;Rock Sinfónico 13;http://www.rtve.es/play/audios/discopolis/discopolis-8181-rock-sinfonico-13-22-01-13/1672584/;2013;1
Episodio 15;Rock sinfónico 14;http://www.rtve.es/play/audios/discopolis/discopolis-8182-rock-sinfonico-14-23-01-13/1673508/;2013;1
Episodio 16;Rock sinfónico 15;http://www.rtve.es/play/audios/discopolis/discopolis-8183-rock-sinfonico-15-24-01-13/1674570/;2013;1
Episodio 17;Rock sinfónico 16;http://www.rtve.es/play/audios/discopolis/discopolis-8184-rock-sinfonico-16-25-01-13/1675477/;2013;1
Episodio 18;Rock sinfónico 17;http://www.rtve.es/play/audios/discopolis/discopolis-8188-rock-sinfonico-17-30-01-13/1678819/;2013;1
Episodio 19;Rock sinfónico 18;http://www.rtve.es/play/audios/discopolis/discopolis-1238-toma-daca-guille-vetusta-santiago-alcanda-31-01-13/1679827/;2013;1
Episodio 20;Rock sinfónico 19;http://www.rtve.es/play/audios/discopolis/discopolis-8190-rock-sinfonico-19-01-02-13/1680804/;2013;2
Episodio 21;Rock sinfónico 20;http://www.rtve.es/play/audios/discopolis/discopolis-8192-rock-sinfonico-20-04-02-13/1682446/;2013;2
Episodio 22;Rock Sinfonico 21;http://www.rtve.es/play/audios/discopolis/discopolis-8193-rock-sinfonico-21-05-02-13/1683349/;2013;2
Episodio 23;Rock Sinfonico 22;http://www.rtve.es/play/audios/discopolis/discopolis-8194-rock-sinfonico-22-06-02-13/1684228/;2013;2
Episodio 24;Rock Sinfonico 23;http://www.rtve.es/play/audios/discopolis/discopolis-8195-rock-sinfonico-23-07-02-13/1685205/;2013;2
Episodio 25;Rock sinfónico 24;http://www.rtve.es/play/audios/discopolis/discopolis-8196-rock-sinfonico-24-08-02-13/1686116/;2013;2
Episodio 26;Rock sinfónico 25;http://www.rtve.es/play/audios/discopolis/discopolis-8198-rock-sinfonico-25-11-0-13/1687936/;2013;2
Episodio 27;Rock Sinfónico 26;http://www.rtve.es/play/audios/discopolis/discopolis-8206-rock-sinfonico-26-20-02-13/1695483/;2013;2
Episodio 28;Rock Sinfónico 28;https://www.rtve.es/play/audios/discopolis/discopolis-8208-rock-sinfonico-28-22-02-13/1697420/;2013;2
Episodio 29;Rock Sinfonico 29;http://www.rtve.es/play/audios/discopolis/discopolis-8210-rock-sinfonico-29-25-02-13/1699286/;2013;2
Episodio 30;Rock Sinfonico 30;http://www.rtve.es/play/audios/discopolis/discopolis-8211-rock-sinfonico-30-26-02-13/1700199/;2013;2
Episodio 31;Rock Sinfónico 31;http://www.rtve.es/play/audios/discopolis/discopolis-8213-rock-sinfonico-31-28-02-13/1702346/;2013;2
Episodio 32;Rock Sinfonico 32;http://www.rtve.es/play/audios/discopolis/discopolis-8214-rock-sinfonico-32-01-03-13/1703559/;2013;3
Episodio 33;Rock sinfónico 34;http://www.rtve.es/play/audios/discopolis/discopolis-8224-rock-sinfonico-34-13-03-13/1718842/;2013;3
Episodio 34;Rock Sinfonico 35 Greg Lake;http://www.rtve.es/play/audios/discopolis/discopolis-8230-rock-sinfonico-35-greg-lake-20-03-13/1727621/;2013;3
Episodio 35;Rock Sinfonico 36;http://www.rtve.es/play/audios/discopolis/discopolis-8232-rock-sinfonico-36-22-03-13/1730467/;2013;3
Episodio 36;Rock sinfónico 37;http://www.rtve.es/play/audios/discopolis/discopolis-8240-rock-sinfonico-37-01-04-13/1741907/;2013;4
Episodio 37;Rock Sinfonico 38;http://www.rtve.es/play/audios/discopolis/discopolis-8242-rock-sinfonico-38-03-04-13/1745478/;2013;4
Episodio 38;Rock sinfonico 39;http://www.rtve.es/play/audios/discopolis/discopolis-8248-rock-sinfonico-39-10-04-13/1757688/;2013;4
Episodio 39;Rock sinfónico 40;http://www.rtve.es/play/audios/discopolis/discopolis-8249-rock-sinfonico-40-11-04-13/1759771/;2013;4
Episodio 40;Rock sinfonico 41;http://www.rtve.es/play/audios/discopolis/discopolis-8250-rock-sinfonico-41-12-04-13/1762176/;2013;4
Episodio 41;Rock Sinfónico 42: Rusia;http://www.rtve.es/play/audios/discopolis/discopolis-8177-rock-sinfonico-42-rusia-15-05-13/1820490/;2013;5
Episodio 42;Rock Sinfónico 43;http://www.rtve.es/play/audios/discopolis/discopolis-8178-rock-sinfonico-43-16-05-13/1822063/;2013;5
Episodio 43;Rock sinfónico 44 Absente H;http://www.rtve.es/play/audios/discopolis/discopolis-8291-rock-sinfonico-44-absente-31-05-13/1848371/;2013;5
Episodio 44;Rock Sinfónico 45;http://www.rtve.es/play/audios/discopolis/discopolis-8382-rock-sinfonico-45-06-09-13/2013400/;2013;9
Episodio 45;Rock sinfónico, heavy y progr. 46;http://www.rtve.es/play/audios/discopolis/discopolis-8392-rock-sinfonico-heavy-progresivo-46-18-09-13/2022127/;2013;9
Episodio 46;Rock Sinfónico 47;http://www.rtve.es/play/audios/discopolis/discopolis-8426-rock-sinfonico-47-28-10-13/2104549/;2013;10
Episodio 47;Rock Sinfónico 48;http://www.rtve.es/play/audios/discopolis/discopolis-8451-rock-sinfonico-48-animals-pink-floyd-magazine-26-11-13/2172749/;2013;11
Episodio 48;Rock Sinfónico 49;http://www.rtve.es/play/audios/discopolis/discopolis-8507-rock-sinfonico-49-30-01-14/2361497/;2014;1
Episodio 49;Rock Sinfónico 50;http://www.rtve.es/play/audios/discopolis/discopolis-050214/2378407/;2014;2
Episodio 50;Rock Sinfónico 51;http://www.rtve.es/play/audios/discopolis/discopolis-070214/2384009/;2014;2
Episodio 51;Johnny Winter-Rock Sinfónico;http://www.rtve.es/play/audios/discopolis/discopolis-8698-johnny-winter-rock-sinfonico-05-09-14/2742237/;2014;9
Episodio 52;Rock Sinfonico 53;http://www.rtve.es/play/audios/discopolis/discopolis-8700-rock-sinfonico-53-08-09-14/2745484/;2014;9
Episodio 53;Rock Sinfónico 54;http://www.rtve.es/play/audios/discopolis/discopolis-8702-rock-sinfonico-54-10-09-14/2749351/;2014;9
Episodio 54;Rock Sinfónico 55;http://www.rtve.es/play/audios/discopolis/discopolis-8708-rock-sinfonico-55-17-09-14/2763550/;2014;9
Episodio 55;Rock sinfónico 56: Neuronium;http://www.rtve.es/play/audios/discopolis/discopolis-8709-rock-sinfonico-56-neuronium-18-09-14/2766054/;2014;9
Episodio 56;Rock Sinfónico 57 Eduardo Bort;http://www.rtve.es/play/audios/discopolis/discopolis-8726-rock-sinfonico-57-eduardo-bort-06-10-14/2793909/;2014;10
Episodio 57;Rock Sinfónico 58;http://www.rtve.es/play/audios/discopolis/discopolis-8727-rock-sinfonico-58-07-10-14/2795939/;2014;10
Episodio 58;Rock Sinfonico 59;http://www.rtve.es/play/audios/discopolis/discopolis-8728-rock-sinfonico-59-08-10-14/2798121/;2014;10
Episodio 59;Rock Sinfónico 60;http://www.rtve.es/play/audios/discopolis/discopolis-8729-rock-sinfonico-60-09-10-14/2800017/;2014;10
