Episodio n;Titulo;URL;Año;Mes
Episodio 1;Los sesenta de verdad 01: Who, Rolling Stones, Beach Boys;http://www.rtve.es/play/audios/discopolis/discopolis-9228-sesenta-verdad-01-who-rolling-stones-beach-boys-01-02-16/3466806/;2016;2
Episodio 2;Los sesenta de verdad 02: Dylan, Zappa, Mayall,Yardbirds;http://www.rtve.es/play/audios/discopolis/discopolis-9229-sesenta-verdad-02-dylan-zappa-mayallyardbirds-02-02-16/3468642/;2016;2
Episodio 3;Los sesenta de verdad 03: Beatles, Donovan, Simon & Garfunk;http://www.rtve.es/play/audios/discopolis/discopolis-9230-sesenta-verdad-032-beatles-donovan-simon-garfunkel-03-02-16/3470224/;2016;2
Episodio 4;Los sesenta de verdad 04: Troggs, Byrds, Cream;http://www.rtve.es/play/audios/discopolis/discopolis-9231-sesenta-verdad-04-troggs-byrds-cream-04-02-16/3472349/;2016;2
Episodio 5;Los sesenta de verdad 05: España 1966;http://www.rtve.es/play/audios/discopolis/discopolis-9232-sesenta-verdad-05-espana-1966-05-02-16/3474759/;2016;2
Episodio 6;Los sesenta de verdad 06: Doors, Who, Rolling Stones;http://www.rtve.es/play/audios/discopolis/discopolis-9236-sesenta-verdad-06-doors-who-rolling-stones-08-02-16/3479071/;2016;2
Episodio 7;Los sesenta de verdad 07;http://www.rtve.es/play/audios/discopolis/discopolis-9237-sesenta-verdad-07-jefferson-velvet-ujimi-hendrix-09-02-16/3480460/;2016;2
Episodio 8;Los sesenta de verdad 08;http://www.rtve.es/play/audios/discopolis/discopolis-9238-sesenta-verdad-08-sgtpeppers-lonely-hearts-10-02-16/3481688/;2016;2
Episodio 9;Los sesenta de verdad 09;http://www.rtve.es/play/audios/discopolis/discopolis-120216/3484620/;2016;2
Episodio 10;Los sesenta de verdad 10;http://www.rtve.es/play/audios/discopolis/discopolis-9245-sesenta-verdad-10-16-02-16/3488878/;2016;2
