Episodio n;Titulo;URL;Año;Mes
Episodio 1;Setentas (01) Janis Joplin - ZZTop;http://www.rtve.es/play/audios/discopolis/discopolis-9920-setentas-01-janis-joplin-zztop-23-10-17/4267207/;2017;10
Episodio 2;Setentas (02) Uriah Heep - Booker T.;http://www.rtve.es/play/audios/discopolis/discopolis-9921-setentas-02-uriah-heep-booker-24-10-17/4269221/;2017;10
Episodio 3;Setentas (03) Yes - Crazy Horse;http://www.rtve.es/play/audios/discopolis/discopolis-9922-setentas-03-yes-crazy-horse-25-10-17/4270861/;2017;10
Episodio 4;Setentas (4) Cactus - Alice Cooper;http://www.rtve.es/play/audios/discopolis/discopolis-9924-setentas-4-cactus-alice-cooper-27-10-17/4274247/;2017;10
Episodio 5;Setentas (5) Egg - Can;http://www.rtve.es/play/audios/discopolis/discopolis-9928-setentas-5-egg-can-30-10-17/4278282/;2017;10
Episodio 6;Setentas (06) Chicago - Soft Machine;http://www.rtve.es/play/audios/discopolis/discopolis-9929-setentas-06-chicago-soft-machine-31-10-17/4280369/;2017;10
Episodio 7;Setentas (07) Jimi Hendrix - Cohen;http://www.rtve.es/play/audios/discopolis/discopolis-9930-setentas-07-jimi-hendrix-cohen-01-11-17/4281958/;2017;11
Episodio 8;Setentas (08) Jethro Tull - Procol Harum;http://www.rtve.es/play/audios/discopolis/discopolis-9931-setentas-08-jethro-tull-procol-harum-02-11-17/4283928/;2017;11
Episodio 9;Setentas (09) Vox Dei - S.Gainsbourg 06/11/17;http://www.rtve.es/play/audios/discopolis/discopolis-9936-setentas-09-vox-dei-sgainsbourg-06-11-17/4291792/;2017;11
Episodio 10;Setentas (10) The Doors;http://www.rtve.es/play/audios/discopolis/discopolis-9937-setentas-10-the-doors-07-11-17/4293461/;2017;11
Episodio 11;Setentas (11) Rolling Stones;https://www.rtve.es/play/audios/discopolis/discopolis-9938-setentas-11-rolling-stones-08-11-17/4295061/;2017;11
Episodio 12;Setentas (12) Caravan- The Nice;http://www.rtve.es/play/audios/discopolis/discopolis-9945-setentas-12-caravan-the-nice-14-11-17/4304945/;2017;11
Episodio 13;Setentas (13) Crosby, Stills, Nash & Young;http://www.rtve.es/play/audios/discopolis/discopolis-9946-setentas-13-crosby-stills-nash-young-15-11-17/4306750/;2017;11
Episodio 14;Setentas (14) Rod Stewart - Hot Tuna;http://www.rtve.es/play/audios/discopolis/discopolis-9947-setentas-14-rod-stewart-hot-tuna-16-11-17/4308705/;2017;11
Episodio 15;Setentas (15) Tarkus - Fireball;http://www.rtve.es/play/audios/discopolis/discopolis-9948-setentas-15-tarkus-fireball-17-11-17/4310379/;2017;11
Episodio 16;Setentas (16) Focus - Black Sabbath;http://www.rtve.es/play/audios/discopolis/discopolis-9963-setentas-16-focus-black-sabbath-20-11-17/4315314/;2017;11
Episodio 17;Setentas (17) Moody Blues - Chuck Berry;http://www.rtve.es/play/audios/discopolis/discopolis-9964-setentas-17-moody-blues-chuck-berry-21-11-17/4317723/;2017;11
Episodio 18;Setentas (18) Pink Floyd;http://www.rtve.es/play/audios/discopolis/discopolis-9955-setentas-18-pink-floyd-22-11-17/4319948/;2017;11
Episodio 19;Setentas (19) Allman Brothers Band;http://www.rtve.es/play/audios/discopolis/discopolis-9956-setentas-19-allman-brothers-band-23-11-17/4321134/;2017;11
Episodio 20;Setentas (20) Little Richard - Shaft;http://www.rtve.es/play/audios/discopolis/discopolis-9957-setentas-20-little-richard-shaft-24-11-17/4321046/;2017;11
Episodio 21;Setentas (21) Who's Next, T. Rex;http://www.rtve.es/play/audios/discopolis/discopolis-9961-setentas-21-whos-next-rex-27-11-17/4321060/;2017;11
Episodio 22;Setentas (22) John Lennon, Imagine;http://www.rtve.es/play/audios/discopolis/discopolis-9962-22-lennon-imagine-28-11-17/4329976/;2017;11
Episodio 23;Setentas (23) Santana III, H. Wolf.;http://www.rtve.es/play/audios/discopolis/discopolis-9963-setentas-23-santana-iii-wolf-29-11-17/4321129/;2017;11
Episodio 24;Setentas (24) Mahavishnu Orchestra;https://www.rtve.es/play/audios/discopolis/discopolis-9964-setentas-24-mahavishnu-orchestra-30-11-17/4321172/;2017;11
Episodio 25;Setentas (25) Hendrix, Rainbow Bridge;https://www.rtve.es/play/audios/discopolis/discopolis-9965-setentas-25-hendrix-rainbow-bridge-01-12-17/4334603/;2017;12
Episodio 26;Setentas (28) Sandy Denny-Joan Baez;http://www.rtve.es/play/audios/discopolis/discopolis-9977-setentas-28-sandy-denny-joan-baez-11-12-17/4363123/;2017;12
Episodio 27;Setentas (29) Ten Years After-U. Heep-F. Mac;http://www.rtve.es/play/audios/discopolis/discopolis-9978-setentas-29-ten-years-after-heep-mac-12-12-17/4365882/;2017;12
Episodio 28;Setentas (30) Grand Funk, Mountain, Faces;http://www.rtve.es/play/audios/discopolis/discopolis-9979-setentas-30-grand-funk-mountain-faces-13-12-17/4368242/;2017;12
Episodio 29;Setentas (31) Flamin Groovies 0 y más;http://www.rtve.es/play/audios/discopolis/discopolis-9980-setentas-31-flamin-groovies-0-mas-14-12-17/4370683/;2017;12
Episodio 30;Setentas (32) Rory Gallagher;http://www.rtve.es/play/audios/discopolis/discopolis-9981-setentas-32-rory-gallagher-15-12-17/4373299/;2017;12
Episodio 31;Setentas (35) Wishbone Ash - Savoy Brown;http://www.rtve.es/play/audios/discopolis/discopolis-9985-setentas-35-wishbone-ash-savoy-brown-18-12-17/4379057/;2017;12
Episodio 32;Setentas (36) A.Cooper, Cactus, Sly;http://www.rtve.es/play/audios/discopolis/discopolis-9986-setentas-36-acooper-cactus-sly-19-12-17/4381585/;2017;12
Episodio 33;Setentas (37) Lindisfarne, Pete Seeger;http://www.rtve.es/play/audios/discopolis/discopolis-9987-setentas-37-lindisfarne-pete-seeger-20-12-17/4383208/;2017;12
Episodio 34;Setentas (38) Dylan, A. Blondel, S. Span;http://www.rtve.es/play/audios/discopolis/discopolis-9988-setentas-38-dylan-blondel-s-span-21-12-17/4385077/;2017;12
