Episodio n;Titulo;URL;Año;Mes
Episodio 1;Sube a El árbol de la música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-sube-arbol-musica-07-10-18/4780051/;2018;10
Episodio 2;El árbol de la música - 14/10/18;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-14-10-18/4790680/;2018;10
Episodio 3;Las habichuelas mágicas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-habichuelas-magicas-21-10-18/4803922/;2018;10
Episodio 4;La peluca de Haendel;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-peluca-haendel-28-10-18/4814658/;2018;10
Episodio 5;Alicia en el país de la música maravillosa;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-alicia-pais-musica-maravillosa-04-11-18/4824278/;2018;11
Episodio 6;El niño del agua;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-nino-del-agua-11-11-18/4834717/;2018;11
Episodio 7;Los tres cerditos y el lobo feroz;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-tres-cerditos-lobo-feroz-18-11-18/4845606/;2018;11
Episodio 8;El timbal al que le dolía la cabeza;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-timbal-dolia-cabeza-25-11-18/4857322/;2018;11
Episodio 9;Antonio y el violín perdido;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-antonio-violin-perdido-02-12-18/4868869/;2018;12
Episodio 10;En una galaxia muy muy lejana...;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-galaxia-muy-muy-lejana-09-12-18/4881138/;2018;12
Episodio 11;Cuento de Navidad;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-cuento-navidad-23-12-18/4907659/;2018;12
Episodio 12;La máquina del tiempo;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-maquina-del-tiempo-30-12-18/4917181/;2018;12
Episodio 13;Los Reyes Despistaos;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-reyes-despistaos-06-01-19/4926859/;2019;1
Episodio 14;El Castillo Tenebroso;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-castillo-tenebroso-13-01-19/4937007/;2019;1
Episodio 15;¿Cuento para niños de jazz???;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-cuento-para-ninos-jazz-20-01-19/4945307/;2019;1
Episodio 16;La Cenicienta;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-cenicienta-27-01-19/4953899/;2019;1
Episodio 17;Alí Babá y los cuarenta percusionistas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-ali-baba-cuarenta-percusionistas-03-02-19/4966134/;2019;2
Episodio 18;El piano al que no le gustaba la música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-piano-no-gustaba-musica-10-02-19/4977898/;2019;2
Episodio 19;El sastrecillo valiente;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-sastrecillo-valiente-17-02-19/4994419/;2019;2
Episodio 20;El día que nació la música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-dia-nacio-musica-24-02-19/5010763/;2019;2
Episodio 21;El aprendiz de brujo;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-aprendiz-brujo-03-03-19/5030018/;2019;3
Episodio 22;La Flauta Mágica;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-flauta-magica-10-03-19/5048159/;2019;3
Episodio 23;La música del Emperador;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-musica-del-emperador-17-03-19/5069738/;2019;3
Episodio 24;Hansel y Gretel;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-hansel-gretel-24-03-19/5086679/;2019;3
Episodio 25;Las aventuras del pirata Henry Purcell;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-aventuras-del-pirata-henry-purcell-31-03-19/5107519/;2019;3
Episodio 26;El rey Arturo y los caballeros a capella;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-rey-arturo-caballeros-capella-07-04-19/5125158/;2019;4
Episodio 27;Las tres princesas y el lobo feroz;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-tres-princesas-lobo-feroz-14-04-19/5141689/;2019;4
Episodio 28;La banqueta de Rossini;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-banqueta-rossini-21-04-19/5157271/;2019;4
Episodio 29;Llámale arpicordio lautado y yo te llamaré ladrón;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-llamale-arpicordio-lautado-yo-llamare-ladron-28-04-19/5169218/;2019;4
Episodio 30;La cigarra y las hormigas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-cigarra-hormigas-05-05-19/5182302/;2019;5
Episodio 31;La Caracola mágica;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-caracola-magica-12-05-19/5198240/;2019;5
Episodio 32;Coppelia;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-coppelia-19-05-19/5223738/;2019;5
Episodio 33;Crispín y el secreto misterioso;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-crispin-secreto-misterioso-26-05-19/5241002/;2019;5
Episodio 34;Los músicos de Bremen;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-musicos-bremen-02-06-19/5255798/;2019;6
Episodio 35;Lisa y el ogro;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-lisa-ogro-09-06-19/5269498/;2019;6
Episodio 36;Alicia a través del espejo;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-alicia-traves-del-espejo-16-06-19/5282681/;2019;6
Episodio 37;El sueño de una noche de verano;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-sueno-noche-verano-23-06-19/5293044/;2019;6
Episodio 38;El cuento que no se acaba;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-cuento-no-se-acaba-30-06-19/5307638/;2019;6
Episodio 39;Venecia es una maravilla y tu música una castaña;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-venecia-maravilla-tu-musica-castana-06-10-19/5402816/;2019;10
Episodio 40;Venecia es una maravilla y tu música una castaña;https://www.rtve.es/play/audios/el-arbol-de-la-musica/venecia-maravilla-tu-musica-castana-06-10-19/5410458/;2019;10
Episodio 41;Caperucita roja;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-caperucita-roja-13-10-19/5408920/;2019;10
Episodio 42;Caperucita Roja;https://www.rtve.es/play/audios/el-arbol-de-la-musica/caperucita-roja-13-10-19/5410428/;2019;10
Episodio 43;La niña sin nombre;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-nina-sin-nombre-20-10-19/5416480/;2019;10
Episodio 44;La niña sin nombre;https://www.rtve.es/play/audios/el-arbol-de-la-musica/nina-sin-nombre-20-10-19/5418338/;2019;10
Episodio 45;El gato con botas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-gato-botas-27-10-19/5423983/;2019;10
Episodio 46;El gato con botas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/gato-botas-27-11-19/5424672/;2019;10
Episodio 47;Robin Hood;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-robin-hood-03-11-19/5432486/;2019;11
Episodio 48;Robin Hood;https://www.rtve.es/play/audios/el-arbol-de-la-musica/robin-hood-03-11-19/5434147/;2019;11
Episodio 49;Blancanieves;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-blancanieves-10-11-19/5439835/;2019;11
Episodio 50;Buscando música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-buscando-musica-17-11-19/5446394/;2019;11
Episodio 51;Buscando música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/buscando-musica/5448356/;2019;11
Episodio 52;Dragones y música;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-dragones-musica-24-11-19/5452025/;2019;11
Episodio 53;Dragones y músicas;https://www.rtve.es/play/audios/el-arbol-de-la-musica/dragones-musicas/5452517/;2019;11
Episodio 54;Pinocho;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-pinocho-01-12-19/5457052/;2019;12
Episodio 55;Pinocho;https://www.rtve.es/play/audios/el-arbol-de-la-musica/pinocho/5457544/;2019;12
Episodio 56;Nikolai;https://www.rtve.es/play/audios/el-arbol-de-la-musica/arbol-musica-nikolai-08-12-19/5461656/;2019;12
Episodio 57;Nikolai;https://www.rtve.es/play/audios/el-arbol-de-la-musica/nikolai/5462885/;2019;12
