Palabra,Frecuencia
desmontando,77
mejores,49
canciones,42
guitarras,24
black,20
monográfico,19
sesión,17
white,17
directo,16
rompepistas,16
especial,15
discos,15
johnny,14
stone,14
jack,14
by,14
hendrix,12
paul,11
concierto,11
joe,11
john,11
guitarra,10
zeppelin,10
fighters,10
jimi,10
blues,10
foo,10
guitarristas,10
dead,10
bonamassa,10
jeff,9
gary,9
keys,9
jr,8
band,8
cash,8
años,8
weather,8
wolfmother,8
robert,8
nuevo,8
vol,8
purple,8
albert,7
guitarreras,7
tame,7
riffs,7
muse,7
strokes,7
versiones,7
young,7
age,7
eric,7
queens,7
clapton,7
monkeys,7
arctic,6
no,6
deep,6
pedro,6
andrea,6
led,6
novedades,6
who,6
cray,6
prince,6
and,6
red,6
king,6
neil,6
masterclass,6
mejor,6
parte,6
favoritos,6
impala,6
volumen,6
live,5
more,5
guitarrazos,5
roses,5
hot,5
faith,5
j,5
inspiradas,5
gallagher,5
solos,5
best,5
himnos,5
stripes,5
at,5
steve,5
susan,5
santos,5
tom,5
morello,5
amigos,5
mike,5
satriani,5
contra,5
frusciante,5
sin,5
strypes,5
mccartney,5
keith,5
richards,5
acdc,5
ben,5
