Palabra;Frecuencia
setentas;340
tesoro;171
sesiones;155
rne;154
sesenta;106
1970;94
folk;86
sinfónico;79
jazz;46
yecla;36
viljandi;29
blues;24
live;24
chequia;22
carlos;22
john;22
euroradio;21
directo;18
concierto;17
moscú;17
eff;16
band;16
y2;14
españa;14
woodstock69;14
javier;14
juan;13
verdad;13
cracovia;13
floyd;13
crimson;12
madrid;12
segovia;12
pink;12
trio;11
eivissa;11
libro;11
luis;11
paco;11
king;11
1980;10
sesión;10
santana;10
cano;10
deep;9
manuel;9
cosmologías;9
sonoras;9
star;9
doors;9
dylan;9
módulos;9
purple;9
1984;9
toledo;9
1985;9
villancicos;9
allman;9
eric;9
black;8
europeos;8
jon;8
young;8
lord;8
ibiza;8
banda;8
hendrix;8
zappa;8
camacho;8
zeppelin;8
led;8
miguel;8
micky;7
brath;7
josé;7
bob;7
1975;7
focus;7
hot;7
dream;7
hilario;7
discópolis;7
muestra;7
festival;7
wight;7
chuck;7
johnny;7
pedro;7
soto;7
dead;7
españoles;7
tull;7
berry;7
lone;7
2ª;7
tangerine;6
maría;6
battiato;6
doble;6
aguaviva;6
vainica;6
jordi;6
stones;6
aute;6
jethro;6
rolling;6
cecilia;6
brothers;6
mateo;6
polisonic;6
sabbath;6
mclaughlin;6
popular;6
lennon;6
bloque;6
bowie;6
david;6
otras;6
atlantic;6
y3;6
neil;6
limón;5
camel;5
1976;5
patxi;5
1979;5
andion;5
yii;5
r;5
fusioon;5
rush;5
rundgren;5
judith;5
radio;5
nuevo;5
in;5
mountain;5
lucia;5
soler;5
haizetara;5
can;5
wakeman;5
world;5
jefferson;5
morrison;5
van;5
jimi;5
beck;5
canarios;5
años;5
grateful;5
who;5
waters;5
tuna;5
mundo;5
machine;5
pequeño;5
concerto;5
eduardo;5
cooper;5
alice;5
janis;5
vino;5
clapton;5
benito;5
new;5
parra;5
parte;5
caravan;5
lake;5
project;5
soul;5
